127.0.0.1 - - [15/Jun/2018:16:48:56 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/javascript HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:48:58 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:53:10 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6200
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:53:11 -0500] "GET /ProjectTemplate/app/milestones HTTP/1.1" 200 6972
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:53:14 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:14 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:14 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:17 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:17 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/css/oreillybs-3.3.5r2.min.css HTTP/1.1" 200 128404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/css/master.css?build=LOCAL HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/css/oreillybs-dojo-r13.min.css HTTP/1.1" 200 114268
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/js/dojo/dojo-common.js?build=LOCAL HTTP/1.1" 200 669584
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/js/dojo/nls/dojo-common_ROOT.js?LOCAL HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-small.gif HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-large-dark.gif HTTP/1.1" 200 8047
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-dark.gif HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/img/error-large.png HTTP/1.1" 200 10058
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/js/dojo/cldr/nls/en/number.js?LOCAL HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-large.gif HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/js/dojo/cldr/nls/en/gregorian.js?LOCAL HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/img/chosen-sprite.png HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:18 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:23 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6200
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:23 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:24 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:24 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:25 -0500] "GET /ProjectTemplate/app/enrollIntern HTTP/1.1" 200 6200
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:25 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:27 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:27 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:40 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:40 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:40 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:42 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:42 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:42 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/css/master.css?build=LOCAL HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/css/oreillybs-dojo-r13.min.css HTTP/1.1" 200 114268
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/css/oreillybs-3.3.5r2.min.css HTTP/1.1" 200 128404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/js/dojo/dojo-common.js?build=LOCAL HTTP/1.1" 200 669584
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/js/dojo/nls/dojo-common_ROOT.js?LOCAL HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-dark.gif HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-small.gif HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-large-dark.gif HTTP/1.1" 200 8047
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/img/error-large.png HTTP/1.1" 200 10058
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/img/chosen-sprite.png HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-large.gif HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/js/dojo/cldr/nls/en/gregorian.js?LOCAL HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /ProjectTemplate/resources/js/dojo/cldr/nls/en/number.js?LOCAL HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:43 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/app HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/css/master.css?build=LOCAL HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/css/oreillybs-dojo-r13.min.css HTTP/1.1" 200 114268
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/css/oreillybs-3.3.5r2.min.css HTTP/1.1" 200 128404
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/js/dojo/dojo-common.js?build=LOCAL HTTP/1.1" 200 669584
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/js/dojo/nls/dojo-common_ROOT.js?LOCAL HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-dark.gif HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-small.gif HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/img/chosen-sprite.png HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/img/ajax-loader-large-dark.gif HTTP/1.1" 200 8047
0:0:0:0:0:0:0:1 - - [15/Jun/2018:16:54:44 -0500] "GET /ProjectTemplate/resources/js/localDojo/app/script.js?LOCAL HTTP/1.1" 404 992
